position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
TE,2025,3,John FitzPatrick GB,0.2,2.0,0.0,0.0,0.3
TE,2025,3,Brayden Willis SF,0.2,2.0,0.0,0.0,0.3
TE,2025,3,Stone Smartt NYJ,0.2,2.4,0.0,0.0,0.3
TE,2025,3,Drew Ogletree IND,0.2,2.1,0.0,0.0,0.3
TE,2025,3,Jack Stoll NO,0.2,2.0,0.0,0.0,0.3
TE,2025,3,Connor Heyward PIT,0.1,1.2,0.0,0.0,0.1
TE,2025,3,Durham Smythe CHI,0.1,1.4,0.0,0.0,0.1
TE,2025,3,Robert Tonyan KC,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Ross Dwelley DET,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Stephen Carlson CHI,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Feleipe Franks ATL,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Josh Whyle GB,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Shane Zylstra DET,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Teagan Quitoriano ATL,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Ko Kieft TB,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Ben Sims GB,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Blake Whiteheart CLE,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Travis Vokolek ARI,0.0,0.0,0.0,0.0,0.0
TE,2025,3,John Stephens Jr. DAL,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Gavin Bartholomew MIN,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Cam Grandy CIN,0.0,0.0,0.0,0.0,0.0
TE,2025,3,Jack Westover NE,0.0,0.0,0.0,0.0,0.0
TE,2025,3,David Martin-Robinson TEN,0.0,0.0,0.0,0.0,0.0
