position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
WR,2025,6,Scotty Miller PIT,1.1,13.1,0.1,0.0,0.0,0.0,0.0,1.8
WR,2025,6,Brycen Tremayne CAR,1.1,12.6,0.1,0.1,0.7,0.0,0.0,1.8
WR,2025,6,Tyler Johnson NYJ,0.9,11.2,0.1,0.0,0.0,0.0,0.0,1.5
WR,2025,6,Pat Bryant DEN,0.9,9.9,0.1,0.0,0.0,0.0,0.0,1.4
WR,2025,6,Tez Johnson TB,0.7,8.4,0.1,0.2,0.8,0.0,0.0,1.4
WR,2025,6,Tim Patrick JAC,0.8,10.4,0.1,0.0,0.0,0.0,0.0,1.4
WR,2025,6,Tre Harris LAC,0.8,9.2,0.1,0.1,0.5,0.0,0.0,1.4
WR,2025,6,Tay Martin WAS,0.8,9.0,0.1,0.0,0.0,0.0,0.0,1.3
WR,2025,6,Devaughn Vele NO,0.8,8.5,0.1,0.0,0.1,0.0,0.0,1.2
WR,2025,6,Jimmy Horn Jr. CAR,0.7,8.1,0.1,0.0,0.0,0.0,0.0,1.2
WR,2025,6,Arian Smith NYJ,0.6,6.9,0.0,0.1,0.6,0.0,0.0,1.0
WR,2025,6,Jalen Royals KC,0.5,6.2,0.0,0.0,0.1,0.0,0.0,0.9
WR,2025,6,Skyy Moore SF,0.7,7.1,0.0,0.0,0.0,0.0,0.0,0.9
WR,2025,6,Van Jefferson TEN,0.5,6.3,0.0,0.0,0.0,0.0,0.0,0.8
WR,2025,6,Casey Washington ATL,0.5,5.8,0.0,0.0,0.0,0.0,0.0,0.8
WR,2025,6,John Metchie III PHI,0.5,5.2,0.0,0.0,0.0,0.0,0.0,0.7
WR,2025,6,Ashton Dulin IND,0.3,3.0,0.0,0.4,1.8,0.0,0.0,0.7
WR,2025,6,Marquez Valdes-Scantling SF,0.3,5.2,0.0,0.0,0.0,0.0,0.0,0.7
WR,2025,6,Jake Bobo SEA,0.3,4.1,0.0,0.0,0.0,0.0,0.0,0.6
WR,2025,6,Tyrell Shavers BUF,0.3,4.2,0.0,0.0,0.0,0.0,0.0,0.5
WR,2025,6,Dee Eskridge MIA,0.3,3.3,0.0,0.0,0.4,0.0,0.0,0.5
WR,2025,6,Malachi Corley CLE,0.4,4.3,0.0,0.0,0.0,0.0,0.0,0.5
WR,2025,6,Devontez Walker BAL,0.3,3.1,0.0,0.0,0.1,0.0,0.0,0.5
WR,2025,6,Derius Davis LAC,0.1,0.5,0.0,0.7,3.1,0.0,0.0,0.4
WR,2025,6,KhaDarel Hodge ATL,0.2,2.7,0.0,0.0,0.1,0.0,0.0,0.3
WR,2025,6,Trent Sherfield Sr. DEN,0.2,2.3,0.0,0.0,0.0,0.0,0.0,0.3
WR,2025,6,KeAndre Lambert-Smith LAC,0.1,1.3,0.0,0.0,0.1,0.0,0.0,0.2
WR,2025,6,Dareke Young SEA,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.2
WR,2025,6,Anthony Gould IND,0.1,1.3,0.0,0.0,0.1,0.0,0.0,0.1
WR,2025,6,Jermaine Burton CIN,0.1,1.1,0.0,0.0,0.1,0.0,0.0,0.1
WR,2025,6,Trey Palmer NO,0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.1
WR,2025,6,Charlie Jones CIN,0.1,0.7,0.0,0.0,0.1,0.0,0.0,0.1
WR,2025,6,Devin Duvernay CHI,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0
WR,2025,6,Xavier Smith LAR,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0
WR,2025,6,DeAndre Carter CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Jamal Agnew ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,David Moore CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Dante Pettis NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Tom Kennedy DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Gunner Olszewski NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Mason Kinsey TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Cody White SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Ihmir Smith-Marsette NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Javon Baker PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Jayden Reed GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Jonathan Mingo DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Kevin Austin Jr. NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,David Bell CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Ainias Smith CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Jalen McMillan TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Simi Fehoko ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Terrace Marshall Jr. PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Austin Trammell JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Erik Ezukanma JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Xavier Weaver ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Justin Shorter LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Britain Covey PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WR,2025,6,Cedric Tillman CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
