position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
WR,2025,3,Joshua Palmer BUF,3.0,41.2,0.3,0.0,0.0,0.0,0.0,5.7
WR,2025,3,Kayshon Boutte NE,3.1,42.2,0.2,0.0,0.1,0.0,0.0,5.6
WR,2025,3,Jalen Nailor MIN,3.0,38.2,0.3,0.1,0.3,0.0,0.0,5.5
WR,2025,3,Dontayvion Wicks GB,2.6,36.8,0.3,0.0,0.1,0.0,0.0,5.3
WR,2025,3,Josh Downs IND,3.6,37.9,0.2,0.0,0.0,0.0,0.0,5.2
WR,2025,3,Malik Washington MIA,2.5,29.2,0.1,0.6,9.1,0.1,0.0,5.0
WR,2025,3,Sterling Shepard TB,2.8,31.9,0.3,0.3,1.3,0.0,0.0,4.9
WR,2025,3,Olamide Zaccheaus CHI,2.8,33.7,0.2,0.1,1.1,0.0,0.0,4.8
WR,2025,3,Xavier Legette CAR,2.9,32.3,0.2,0.2,1.3,0.0,0.0,4.7
WR,2025,3,Adam Thielen MIN,2.9,30.1,0.3,0.0,0.0,0.0,0.0,4.5
WR,2025,3,Tre Tucker LV,2.4,33.2,0.2,0.3,1.3,0.0,0.0,4.5
WR,2025,3,Dont'e Thornton Jr. LV,2.5,32.2,0.2,0.0,0.0,0.0,0.0,4.3
WR,2025,3,Marvin Mims Jr. DEN,2.4,30.5,0.2,0.3,1.4,0.0,0.0,4.3
WR,2025,3,Hunter Renfrow CAR,3.1,31.3,0.2,0.0,0.0,0.0,0.0,4.2
WR,2025,3,Michael Wilson ARI,2.5,30.3,0.2,0.0,0.1,0.0,0.0,4.1
WR,2025,3,Alec Pierce IND,2.0,30.4,0.2,0.0,0.0,0.0,0.0,4.1
WR,2025,3,Jaylin Lane WAS,2.5,28.0,0.2,0.0,0.0,0.0,0.0,4.0
WR,2025,3,DeMario Douglas NE,2.6,28.9,0.2,0.3,1.8,0.0,0.0,4.0
WR,2025,3,KaVontae Turpin DAL,1.6,20.2,0.1,1.0,8.0,0.1,0.0,3.9
WR,2025,3,Nick Westbrook-Ikhine MIA,1.9,26.4,0.2,0.0,0.1,0.0,0.0,3.6
WR,2025,3,Darius Slayton NYG,1.6,25.4,0.1,0.1,0.3,0.0,0.0,3.4
WR,2025,3,Tory Horton SEA,1.8,24.4,0.2,0.0,0.0,0.0,0.0,3.3
WR,2025,3,Kendrick Bourne SF,2.2,23.6,0.2,0.0,0.0,0.0,0.0,3.3
WR,2025,3,Tyquan Thornton KC,1.8,23.4,0.2,0.0,0.0,0.0,0.0,3.3
WR,2025,3,Jalen Tolbert DAL,1.8,22.6,0.2,0.0,0.0,0.0,0.0,3.3
WR,2025,3,Ray-Ray McCloud III ATL,2.1,24.0,0.1,0.1,1.9,0.0,0.1,3.3
WR,2025,3,DeAndre Hopkins BAL,1.6,20.7,0.2,0.0,0.0,0.0,0.0,3.2
WR,2025,3,JuJu Smith-Schuster KC,2.1,22.7,0.1,0.0,0.0,0.0,0.0,3.0
WR,2025,3,Chimere Dike TEN,1.6,18.6,0.1,0.9,3.5,0.0,0.0,3.0
WR,2025,3,Tyler Lockett TEN,1.9,22.0,0.1,0.0,0.0,0.0,0.0,3.0
WR,2025,3,Jayden Higgins HOU,1.7,21.2,0.1,0.0,0.1,0.0,0.0,2.8
WR,2025,3,Brandin Cooks NO,1.7,19.2,0.1,0.0,0.0,0.0,0.0,2.6
WR,2025,3,Arian Smith NYJ,1.6,18.1,0.1,0.3,1.4,0.0,0.0,2.5
WR,2025,3,Josh Reynolds NYJ,1.4,18.2,0.1,0.0,0.0,0.0,0.0,2.5
WR,2025,3,Roman Wilson PIT,1.4,16.5,0.1,0.0,0.0,0.0,0.0,2.4
WR,2025,3,Jahan Dotson PHI,1.4,17.4,0.1,0.0,0.1,0.0,0.0,2.4
WR,2025,3,Xavier Hutchinson HOU,1.4,17.4,0.1,0.1,0.5,0.0,0.0,2.4
WR,2025,3,Mack Hollins NE,1.3,16.0,0.1,0.0,0.1,0.0,0.0,2.3
WR,2025,3,Andrei Iosivas CIN,1.3,16.0,0.1,0.0,0.0,0.0,0.0,2.2
WR,2025,3,Kalif Raymond DET,1.2,16.0,0.1,0.1,1.0,0.0,0.0,2.1
WR,2025,3,Tyler Johnson NYJ,1.4,16.4,0.1,0.0,0.0,0.0,0.0,2.1
