position,season,week,"('Unnamed: 0_level_0', 'Player')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
WR,2026,,Puka Nacua LAR,7.6,99.6,0.6,0.5,2.5,0.0,0.0,14.0
WR,2026,,A.J. Brown PHI,5.8,69.4,0.6,0.0,0.0,0.0,0.0,10.3
WR,2026,,Davante Adams LAR,4.1,57.5,0.7,0.0,0.0,0.0,0.0,9.6
WR,2026,,Nico Collins HOU,5.0,68.7,0.4,0.0,0.0,0.0,0.0,9.1
WR,2026,,Christian Watson GB,3.7,63.0,0.4,0.3,1.3,0.0,0.0,9.0
WR,2026,,Stefon Diggs NE,5.4,63.9,0.4,0.0,0.0,0.0,0.0,8.7
WR,2026,,Parker Washington JAC,5.0,61.5,0.4,0.1,0.6,0.0,0.0,8.7
WR,2026,,DK Metcalf PIT,4.5,61.0,0.4,0.0,0.0,0.0,0.0,8.6
WR,2026,,Jakobi Meyers JAC,5.5,63.4,0.4,0.0,0.0,0.0,0.0,8.5
WR,2026,,Tetairoa McMillan CAR,4.6,60.8,0.4,0.1,0.6,0.0,0.0,8.4
WR,2026,,Jauan Jennings SF,4.7,55.0,0.4,0.0,0.0,0.0,0.0,7.9
WR,2026,,Ladd McConkey LAC,4.7,56.4,0.4,0.0,0.0,0.0,0.0,7.8
WR,2026,,DeVonta Smith PHI,4.6,55.9,0.3,0.0,0.0,0.0,0.0,7.5
WR,2026,,Jayden Reed GB,3.9,53.7,0.3,0.3,1.4,0.0,0.0,7.4
WR,2026,,Brian Thomas Jr. JAC,3.9,53.0,0.3,0.0,0.0,0.0,0.0,7.3
WR,2026,,Quentin Johnston LAC,3.8,52.9,0.3,0.0,0.0,0.0,0.0,7.3
WR,2026,,Khalil Shakir BUF,4.9,54.7,0.3,0.0,0.0,0.0,0.0,7.2
WR,2026,,Luther Burden III CHI,4.0,49.8,0.3,0.3,1.3,0.0,0.0,6.7
WR,2026,,Romeo Doubs GB,3.3,42.8,0.3,0.0,0.0,0.0,0.0,6.2
WR,2026,,Jalen Coker CAR,3.2,40.9,0.2,0.1,0.6,0.0,0.0,5.6
WR,2026,,DJ Moore CHI,2.6,35.0,0.3,0.6,2.7,0.0,0.0,5.5
WR,2026,,Rome Odunze CHI,3.0,38.1,0.3,0.0,0.0,0.0,0.0,5.5
WR,2026,,Kayshon Boutte NE,2.6,38.5,0.2,0.0,0.0,0.0,0.0,5.0
WR,2026,,Jayden Higgins HOU,2.7,35.2,0.2,0.0,0.0,0.0,0.0,4.6
WR,2026,,Brandin Cooks BUF,2.9,33.7,0.2,0.0,0.0,0.0,0.0,4.5
WR,2026,,Keenan Allen LAC,3.4,33.8,0.2,0.0,0.0,0.0,0.0,4.4
WR,2026,,Demarcus Robinson SF,2.0,25.7,0.2,0.0,0.0,0.0,0.0,3.6
WR,2026,,Kendrick Bourne SF,2.3,27.5,0.1,0.0,0.0,0.0,0.0,3.5
WR,2026,,Kyle Williams NE,2.0,27.0,0.1,0.0,0.0,0.0,0.0,3.3
WR,2026,,Marquez Valdes-Scantling PIT,1.8,22.9,0.2,0.0,0.0,0.0,0.0,3.2
WR,2026,,Christian Kirk HOU,2.2,24.9,0.1,0.0,0.0,0.0,0.0,3.2
WR,2026,,Xavier Hutchinson HOU,1.8,22.2,0.2,0.0,0.0,0.0,0.0,3.2
WR,2026,,Xavier Legette CAR,2.3,23.4,0.1,0.0,0.0,0.0,0.0,3.0
WR,2026,,DeMario Douglas NE,1.7,21.4,0.1,0.0,0.0,0.0,0.0,2.9
WR,2026,,Tre Harris LAC,1.8,23.0,0.1,0.0,0.0,0.0,0.0,2.8
WR,2026,,Calvin Austin III PIT,1.8,21.4,0.1,0.0,0.0,0.0,0.0,2.7
WR,2026,,Adam Thielen PIT,1.8,20.1,0.1,0.0,0.0,0.0,0.0,2.6
WR,2026,,Tyrell Shavers BUF,1.5,21.9,0.1,0.0,0.0,0.0,0.0,2.6
WR,2026,,Konata Mumpfield LAR,1.5,17.1,0.2,0.0,0.0,0.0,0.0,2.6
WR,2026,,Matthew Golden GB,1.5,16.7,0.1,0.3,1.3,0.0,0.0,2.2
WR,2026,,Jimmy Horn Jr. CAR,0.9,10.5,0.1,0.8,3.7,0.0,0.0,1.9
WR,2026,,Gabe Davis BUF,0.9,12.7,0.1,0.0,0.0,0.0,0.0,1.8
WR,2026,,Xavier Smith LAR,1.0,12.9,0.0,0.0,0.0,0.0,0.0,1.5
WR,2026,,Jahan Dotson PHI,1.1,12.8,0.0,0.0,0.0,0.0,0.0,1.5
WR,2026,,Jaylin Noel HOU,1.1,10.5,0.0,0.1,0.6,0.0,0.0,1.4
WR,2026,,Tim Patrick JAC,0.6,8.2,0.1,0.0,0.0,0.0,0.0,1.2
WR,2026,,Keon Coleman BUF,0.6,8.5,0.1,0.0,0.0,0.0,0.0,1.2
WR,2026,,Brycen Tremayne CAR,0.8,7.9,0.0,0.0,0.0,0.0,0.0,1.0
WR,2026,,Efton Chism III NE,0.6,7.2,0.1,0.0,0.0,0.0,0.0,1.0
WR,2026,,Joshua Palmer BUF,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
WR,2026,,Tutu Atwell LAR,0.4,6.0,0.0,0.3,1.2,0.0,0.0,1.0
WR,2026,,Darius Cooper PHI,0.6,5.9,0.0,0.0,0.0,0.0,0.0,0.8
WR,2026,,Olamide Zaccheaus CHI,0.6,5.8,0.0,0.0,0.0,0.0,0.0,0.8
