position,season,week,Player,FG,FGA,XPT,FPTS,player_name,team
K,2026,,Andy Borregales NE,3.0,0.0,2.0,11.0,Andy Borregales,NE
K,2026,,Harrison Mevis LAR,1.8,1.9,3.2,8.6,Harrison Mevis,LAR
K,2026,,Jason Myers SEA,1.9,2.2,2.8,8.6,Jason Myers,SEA
K,2026,,Matthew Wright BUF,1.8,2.0,3.0,8.4,Matthew Wright,BUF
K,2026,,Wil Lutz DEN,1.9,2.3,2.3,8.1,Wil Lutz,DEN
K,2026,,Ka'imi Fairbairn HOU,2.0,0.0,2.0,8.0,Ka'imi Fairbairn,HOU
K,2026,,Eddy Pineiro SF,1.9,2.0,2.1,7.9,Eddy Pineiro,SF
K,2026,,Cairo Santos CHI,1.3,2.0,2.6,6.5,Cairo Santos,CHI
K,2026,,Matt Prater BUF,1.0,0.0,3.0,6.0,Matt Prater,BUF
