position,season,week,"('Unnamed: 0_level_0', 'Player')","('PASSING', 'ATT')","('PASSING', 'CMP')","('PASSING', 'YDS')","('PASSING', 'TDS')","('PASSING', 'INTS')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
QB,2026,,Josh Allen BUF,31.3,21.7,249.3,1.4,0.8,7.3,38.3,0.6,0.0,22.2
QB,2026,,Trevor Lawrence JAC,35.1,21.4,251.1,1.8,0.7,5.1,25.5,0.3,0.0,21.1
QB,2026,,Jalen Hurts PHI,30.8,19.9,218.4,1.4,0.6,6.8,33.8,0.5,0.0,20.4
QB,2026,,Drake Maye NE,29.8,21.4,241.9,1.6,0.6,5.9,27.1,0.3,0.0,19.6
QB,2026,,Justin Herbert LAC,32.6,21.7,237.5,1.4,0.5,5.9,32.7,0.3,0.0,19.3
QB,2026,,Matthew Stafford LAR,35.0,22.7,275.7,2.0,0.7,1.1,3.7,0.0,0.0,19.0
QB,2026,,Caleb Williams CHI,33.4,19.4,231.7,1.4,0.6,5.3,24.4,0.2,0.0,18.0
QB,2026,,Jordan Love GB,30.9,20.5,238.0,1.5,0.6,3.5,14.8,0.1,0.0,17.1
QB,2026,,Brock Purdy SF,32.7,22.7,237.3,1.3,0.8,4.1,17.2,0.1,0.0,16.5
QB,2026,,C.J. Stroud HOU,31.4,20.3,225.9,1.2,0.6,4.3,18.7,0.2,0.0,16.3
QB,2026,,Bryce Young CAR,30.9,19.7,194.9,1.0,0.7,4.3,19.4,0.2,0.0,14.4
QB,2026,,Aaron Rodgers PIT,30.8,20.2,205.5,1.1,0.5,1.1,5.1,0.0,0.0,12.9
