position,season,week,"('Unnamed: 0_level_0', 'Player')","('RUSHING', 'ATT')","('RUSHING', 'YDS')","('RUSHING', 'TDS')","('RECEIVING', 'REC')","('RECEIVING', 'YDS')","('RECEIVING', 'TDS')","('MISC', 'FL')","('MISC', 'FPTS')"
RB,2026,,James Cook III BUF,18.2,91.9,0.7,2.4,22.2,0.1,0.0,16.4
RB,2026,,Christian McCaffrey SF,15.6,65.1,0.4,5.1,44.1,0.3,0.0,15.1
RB,2026,,Josh Jacobs GB,17.9,75.4,0.8,2.4,16.9,0.1,0.0,14.4
RB,2026,,Saquon Barkley PHI,17.6,80.7,0.5,2.2,16.5,0.1,0.0,13.3
RB,2026,,Kyren Williams LAR,16.1,70.3,0.6,2.0,13.8,0.1,0.0,12.5
RB,2026,,Travis Etienne Jr. JAC,16.8,67.3,0.5,2.1,16.2,0.1,0.0,12.1
RB,2026,,TreVeyon Henderson NE,13.2,60.6,0.5,2.0,15.3,0.1,0.0,11.0
RB,2026,,Woody Marks HOU,16.3,67.4,0.4,1.5,12.9,0.1,0.0,10.8
RB,2026,,D'Andre Swift CHI,13.3,57.5,0.4,2.0,17.3,0.1,0.0,10.5
RB,2026,,Omarion Hampton LAC,13.8,56.7,0.4,2.3,14.3,0.1,0.0,10.0
RB,2026,,Jaylen Warren PIT,14.6,63.0,0.3,1.9,15.7,0.1,0.0,9.9
RB,2026,,Rhamondre Stevenson NE,11.3,47.8,0.4,2.3,19.2,0.1,0.0,9.8
RB,2026,,Kenneth Gainwell PIT,7.5,32.3,0.2,5.3,37.2,0.2,0.0,8.9
RB,2026,,Rico Dowdle CAR,11.4,51.2,0.3,2.2,15.1,0.1,0.0,8.7
RB,2026,,Kyle Monangai CHI,9.8,41.3,0.3,1.2,8.4,0.0,0.0,7.1
RB,2026,,Blake Corum LAR,10.8,44.9,0.3,0.8,5.0,0.0,0.0,6.9
RB,2026,,Chuba Hubbard CAR,8.7,36.1,0.2,2.0,13.5,0.1,0.0,6.6
RB,2026,,Kimani Vidal LAC,7.1,31.4,0.2,1.3,10.1,0.0,0.0,5.5
RB,2026,,Jawhar Jordan HOU,8.0,31.0,0.2,1.0,6.0,0.0,0.0,4.9
RB,2026,,Emanuel Wilson GB,4.5,19.8,0.1,1.1,7.4,0.0,0.0,3.5
RB,2026,,Bhayshul Tuten JAC,5.8,23.1,0.2,0.3,1.9,0.0,0.0,3.5
RB,2026,,Brian Robinson Jr. SF,5.2,20.7,0.0,0.3,1.9,0.0,0.0,2.6
RB,2026,,Ray Davis BUF,3.0,11.4,0.0,0.9,8.4,0.0,0.0,2.3
RB,2026,,Nick Chubb HOU,3.3,15.0,0.1,0.1,0.9,0.0,0.0,2.0
RB,2026,,Tank Bigsby PHI,3.3,13.2,0.1,0.1,0.8,0.0,0.0,1.8
RB,2026,,Kyle Juszczyk SF,1.6,6.5,0.0,0.9,7.7,0.0,0.0,1.8
RB,2026,,Reggie Gilliam BUF,1.5,5.8,0.0,0.6,4.4,0.0,0.0,1.3
